code,name,years
TZ,ATA Airlines d/b/a ATA,"2003,2004,2005,2006"
FL,AirTran Airways Corporation,"2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014"
AS,Alaska Airlines Inc.,"2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020"
G4,Allegiant Air,"2018,2019,2020"
AQ,Aloha Airlines Inc.,"2006,2007,2008"
HP,America West Airlines Inc.,"2003,2004,2005"
AA,American Airlines Inc.,"2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020"
MQ,American Eagle Airlines Inc.,"2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014"
DH,Atlantic Coast Airlines,"2003,2004"
EV,Atlantic Southeast Airlines,"2003,2004,2005,2006,2007,2008,2009,2010,2011"
OH,Comair Inc.,"2004,2005,2006,2007,2008,2009,2010"
CO,Continental Air Lines Inc.,"2003,2004,2005,2006,2007,2008,2009,2010,2011"
DL,Delta Air Lines Inc.,"2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020"
9E,Endeavor Air Inc.,"2013,2018,2019,2020"
MQ,Envoy Air,"2014,2015,2018,2019,2020"
XE,ExpressJet Airlines Inc.,"2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019"
EV,ExpressJet Airlines LLC,"2019,2020"
F9,Frontier Airlines Inc.,"2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020"
HA,Hawaiian Airlines Inc.,"2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020"
DH,Independence Air,"2004,2005"
B6,JetBlue Airways,"2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020"
YV,Mesa Airlines Inc.,"2006,2007,2008,2009,2010,2011,2012,2013,2018,2019,2020"
NW,Northwest Airlines Inc.,"2003,2004,2005,2006,2007,2008,2009"
OH,PSA Airlines Inc.,"2018,2019,2020"
9E,Pinnacle Airlines Inc.,"2007,2008,2009,2010,2013"
YX,Republic Airline,"2018,2019,2020"
OO,SkyWest Airlines Inc.,"2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020"
WN,Southwest Airlines Co.,"2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020"
NK,Spirit Air Lines,"2015,2016,2017,2018,2019,2020"
US,US Airways Inc.,"2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015"
UA,United Air Lines Inc.,"2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020"
VX,Virgin America,"2012,2013,2014,2015,2016,2017,2018"
